nome_politica;tipo_politica;ano;grande_area;area;subareas;orgaos;publico_alvo;publico_alvo_categ;publico_alvo_legislacao;medida_provisoria;medida_provisoria_inicio_vigencia;instrumento_legal;legislacao;vigencia_inicio;vigencia_fim;objetivos;observacoes;acao_orcamentaria_assoc
Programa de Venda em Balcão;Programa governamental;2022;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;"Ministério da Economia; Ministério da Agricultura, Pecuária e Abastecimento";Trabalhadores Rurais;Agricultores familiares;"Art. 2º É beneficiário do Programa de Venda em Balcão instituído por esta Lei o pequeno criador de animais, incluído o aquicultor, que:

I - possua Declaração de Aptidão ao Programa Nacional de Fortalecimento da Agricultura Familiar (DAP-Pronaf) ativa, ou outro documento que venha a substituí-la; ou

II - (VETADO).

II - embora não detentor da DAP - Pronaf ativa, ou outro documento que venha a substituí-la, enquadre-se em critérios objetivos estabelecidos para a definição da renda bruta anual vigente no âmbito do Pronaf ou explore imóvel rural com área equivalente a até 10 (dez) módulos fiscais.       (Promulgação partes vetadas)

Parágrafo único. Além do disposto nos incisos I e II do caput deste artigo, o beneficiário do Programa de Venda em Balcão deverá estar:

I - cadastrado no Sistema de Cadastro Nacional de Produtores Rurais, Público do PAA, Cooperativas, Associações e demais Agentes, da Companhia Nacional de Abastecimento (Conab); e

II - em situação regular perante a Conab.

Art. 3º Fica vedada a participação dos produtores integrados e integradores, de que trata a Lei nº 13.288, de 16 de maio de 2016, no Programa de Venda em Balcão.";1064/2021;17 de agosto de 2021;Lei Ordinária;14293/2022;04 de janeiro de 2022;Não encontrado;Art. 1º  Esta Lei institui o Programa de Venda em Balcão, com o objetivo de promover o acesso do pequeno criador de animais ao estoque público de milho.;;
Política de Ciência, Tecnologia e Inovação de Defesa;Política Nacional;2021;Desenvolvimento Econômico;Ciência e Tecnologia;"Ciência e Tecnologia; Defesa";Ministério da Defesa;Sistema Nacional de Defesa;Sistema Nacional de Defesa;Sem especificação;Não se aplica;Não se aplica;Portaria;3063/2021;22 de Julho de 2021;Não encontrado;"Art. 2º A Política de Ciência, Tecnologia e Inovação de Defesa tem como objetivo geral estimular o desenvolvimento científico e tecnológico e a inovação de interesse de Defesa. Art. 3º São objetivos específicos da Política de Ciência, Tecnologia e Inovação de Defesa: I - ampliar o conteúdo tecnológico dos produtos e serviços de interesse de Defesa; II - elevar o nível de capacitação de recursos humanos, vinculados ou dedicados à ciência, tecnologia e inovação de interesse de Defesa; III - aprimorar a infraestrutura de ciência, tecnologia e inovação de apoio a programas e projetos prioritários de interesse de Defesa; IV - proporcionar a criação de ambiente favorável à inovação, à cooperação, à competitividade industrial e à capacitação nacional, voltados aos interesses de Defesa; V - aperfeiçoar os mecanismos de financiamento das atividades de ciência, tecnologia e inovação de interesse de Defesa; VI - promover a cultura de Ciência, Tecnologia e Inovação de interesse da Defesa, junto a diversos segmentos da sociedade; VII - estimular o aproveitamento da imagem de excelência institucional; VIII - integrar as iniciativas de ciência, tecnologia e inovação de interesse de Defesa, conduzidas nas Instituições Científicas, Tecnológicas e de Inovação (ICT), nas empresas e na academia; IX - estabelecer mecanismos voltados a políticas para a valorização de recursos humanos baseada em resultados; e X - implantar sistemática que integre o planejamento estratégico, o ciclo de vida de produtos e serviços de interesse de Defesa e a avaliação de resultados";;
Política de Educação Física e Desportos da Marinha do Brasil;Política Nacional;2021;Defesa e Segurança;Marinha;Marinha;Ministério da Defesa;Comando da Marinha;Comando da Marinha;Sem especificação;Não se aplica;Não se aplica;Portaria; 08/2021;15 de Março de 2021;Não encontrado;"OBJETIVOS DA EDUCAÇÃO FÍSICA E DESPORTOS DA MB Os objetivos a serem alcançados dividem-se em dois grandes segmentos. O primeiro diz respeito a ""propiciar ao pessoal da MB a higidez física adequada às exigências da vida naval"". Este segmento está diretamente associado ao TFM. São objetivos elaborados respeitando os princípios científicos e afins, considerando tanto as especificidades das OM, ou seja, as ""OM Tipo"", quanto às demandas referentes ao emprego de seus efetivos, de modo a garantir o atingimento da higidez física adequada às tarefas de cada Unidade. Assim, é mister que os Comandos tenham um completo entendimento da validade e quase imprescindível necessidade de que os militares, independente de suas áreas de atuação, tenham a melhor condição física possível. O segundo segmento refere-se aos atletas que representarão a MB e o Brasil. Para participar de competições nacionais e internacionais, em condições de obter as primeiras colocações, esses militares atletas terão que ser ""profissionais do esporte"". Serão militares que terão a missão exclusiva de defender a marca ""Marinha do Brasil"" e as cores brasileiras nas diversas competições esportivas, primordialmente nas modalidades militares. Para não impactar demasiadamente as Unidades com a cessão de seus militares de carreira, manter-se-á a incorporação de atletas de alto rendimento como Praças temporários (RM2). Subsidiariamente, buscar-se-á a ampliação da mentalidade desportiva no âmbito da Força, permitindo aos Comandos uma maior compreensão da real importância de atletas de alto rendimento para a divulgação positiva da MB no segmento civil da sociedade brasileira. Não obstante, é de suma importância buscar o aumento na quantidade de militares qualificados nos cursos oferecidos e (ou) intermediados pelo Centro de Educação Física Almirante Adalberto Nunes (CEFAN), como: Cursos Expedito de TFM para Oficiais e Praças; Estágio de Qualificação em Educação Física para Fuzileiros Navais; e os Cursos de Instrutor (Oficiais) e Monitor (Praças) da Escola de Educação Física do Exército.";;
Política de Gestão da Informação do Ministério da Defesa;Política Nacional;2021;Administração;Administração Pública;"Administração;;;;";Ministério da Defesa;Ministério da Defesa;Ministério da Defesa;Sem especificação;Não se aplica;Não se aplica;Portaria;3070/2021;22 de Julho de 2021;Não encontrado;Art. 2º A Política de Gestão da Informação do Ministério da Defesa tem por objetivo ampliar os instrumentos de transparência pública, indispensáveis ao processo de boas práticas de gestão governamental e de proteção de informações necessárias à segurança da sociedade e do Estado, em estreito alinhamento com os pressupostos de direitos fundamentais.;;
Política de Propriedade Intelectual do Ministério da Defesa;Política Nacional;2021;Administração;Administração Pública;"Administração;;;;";Ministério da Defesa;Ministério da Defesa;Ministério da Defesa;Sem especificação;Não se aplica;Não se aplica;Portaria;3439/2021;18 de Agosto de 2021;Não encontrado;"Art. 2º A Política de Propriedade Intelectual do Ministério da Defesa tem como objetivo geral orientar as ações relacionadas: I - à proteção do conhecimento e das criações desenvolvidas pelas Instituições Científicas, Tecnológicas e de Inovação (ICT) qualificadas ou reconhecidas no âmbito do Ministério da Defesa ou dos Comandos das Forças Armadas, incluindo proteções requeridas e concedidas; e II - aos contratos firmados de licenciamento de criações protegidas e de transferência de tecnologia. Parágrafo único. Para os fins do disposto nesta Portaria, as ICT de que trata o inciso I serão denominadas ICT do Ministério da Defesa. Art. 3º São objetivos específicos da Política de Propriedade Intelectual do Ministério da Defesa: I - criar um ambiente capaz de estimular a preservação da propriedade intelectual; II - capacitar e valorizar os recursos humanos envolvidos nos processos de geração de novos conhecimentos e de proteção da propriedade intelectual; III - fomentar o licenciamento de criação protegida e a transferência de tecnologias geradas no âmbito das ICT do Ministério da Defesa; e IV - estimular o uso da informação de Propriedade Intelectual como ferramenta estratégica para nortear pesquisas, desenvolvimentos, inovações, negócios e geração de ativos de propriedade intelectual.";;
Plano Integrado de Longo Prazo da Infraestrutura - 2021-2050;Plano Nacional;2021;Infraestrutura;Infraestrutura;Infraestrutura;Casa Civil;População em geral ;População em geral;Sem especificação;Não se aplica;Não se aplica;Resolução; 3/2021;14 de dezembro de 2021;Não encontrado;;;
Plano Nacional de combate à pirataria, ao contrabando, à sonegação fiscal delas decorrentes e aos delitos contra a propriedade intelectual (PNCP 2022-2025);Plano Nacional;2021;Desenvolvimento Econômico;Política Econômica;Comércio e Serviços;Ministério da Justiça e Segurança Pública;População em geral ;População em geral;Sem especificação;Não se aplica;Não se aplica;Resolução; 3/2021;3 de dezembro de 2021;Não encontrado;;;
Plano Nacional pelo Fim da Tuberculose como Problema de Saúde Pública;Plano Nacional;2022;Social;Saúde;"Saúde;;;;";Ministério da Saúde;População em geral;População em geral;Sem especificação;Não se aplica;Não se aplica;Portaria;154/2022;26 de Janeiro de 2022;Não encontrado;;;
Política de Acervos Documentais Presidenciais Privados da Comissão Memória dos Presidentes da República;Política Nacional;2021;Administração;Administração Pública;"Administração;;;;";Presidência da República;Acervos documentais;Acervos documentais; § 1º Considera-se acervo presidencial privado o definido nos arts. 2º e 3º do Decreto nº 4.344, de 2002.;Não se aplica;Não se aplica;Resolução;01    2021;9 de dezembro de 2021;Não encontrado;Art. 1º Fica instituída a Política de Acervos Documentais Presidenciais Privados da Comissão Memória dos Presidentes da República - CMPR como estratégia permanente para promover a pesquisa, a preservação, o acesso e a divulgação dos acervos presidenciais privados dos Presidentes da República. § 1º Considera-se acervo presidencial privado o definido nos arts. 2º e 3º do Decreto nº 4.344, de 2002.;;
Política de Acessibilidade do Ministério da Mulher, da Família e dos Direitos Humanos;Política Nacional;2022;Social;Administração Pública;"Direitos da Cidadania;;;;";Ministério da Mulher, da Família e dos Direitos Humanos;Pessoas com deficiência;Pessoas com deficiência;Parágrafo único. Para fins desta Portaria, equivalem-se às pessoas com deficiência aquelas com transtorno do espectro autista, nos termos do § 2º do art. 1º da Lei nº 12.764, de 27 de dezembro de 2012, e consideram-se pessoas com mobilidade reduzida aquelas idosas, gestantes, lactantes, obesas ou com criança de colo, nos termos do inciso IX do caput do art. 3º da Lei nº 13.146, de 6 de julho de 2015, Lei Brasileira de Inclusão (Estatuto da Pessoa com Deficiência).;Não se aplica;Não se aplica;Portaria;636/2022;21 de Março de 2022;Não encontrado;"Art. 3º São objetivos da Política de Acessibilidade do Ministério da Mulher, da Família e dos Direitos Humanos:

I - identificar e eliminar barreiras arquitetônicas e urbanísticas para garantir o livre trânsito nas dependências do Ministério da Mulher, da Família e dos Direitos Humanos, com segurança e autonomia das pessoas com deficiência, com nanismo ou com mobilidade reduzida;

II - identificar e eliminar barreiras na comunicação institucional - incluindo reuniões, eventos, publicações, comunicação interna e ações de publicidade - para viabilizar o acesso à informação e ao conhecimento a todas as pessoas;

III - identificar e eliminar barreiras tecnológicas para garantir a todas as pessoas o acesso aos sistemas, páginas da internet, intranet e demais ambientes virtuais do Ministério da Mulher, da Família e dos Direitos Humanos; e

IV - identificar e eliminar barreiras atitudinais que impedem a plena inclusão de pessoas com deficiência.";;
Política de Desenvolvimento da Ciência Nacional, no âmbito do Ministério da Ciência, Tecnologia e Inovações.;Política Nacional;2021;Desenvolvimento Econômico;"Administração Pública; Ciência e Tecnologia";Ciência e Tecnologia;Ministério da Ciência, Tecnologia e Inovações;Ministério da Ciência, Tecnologia e Inovações;Ministério da Ciência, Tecnologia e Inovações;Ministério da Ciência, Tecnologia e Inovações;Não se aplica;Não se aplica;Portaria;5439/2021;20 de dezembro de 2021;Não encontrado;"Art. 4º São objetivos da Política de Desenvolvimento da Ciência Nacional: I - contribuir significativamente para o desenvolvimento científico e tecnológico do País, em todas as áreas do conhecimento; II - orientar e coordenar as estratégias, os planos, os programas, os projetos e as ações de pesquisa básica, ciências humanas e sociais aplicadas, de infraestrutura de pesquisa e de formação de recursos humanos para o desenvolvimento da ciência nacional; III - promover o desenvolvimento da ciência nacional para contribuir com o desenvolvimento sustentável e a autonomia tecnológica do país; IV - utilizar ciência, tecnologia e inovações para contribuir na melhoria: a) do ensino de ciências; e b) da promoção, popularização e da divulgação da Ciência; e V - fortalecer a universalização do acesso à infraestrutura científica e tecnológica avançada, otimizando sua utilização pela comunidade científica e setor privado. ";;
Programa Brasil na Escola;Programa governamental;2021;Social;"Assistência Social; Educação";Educação;Ministério da Educação;Estudantes e Professores;redes públicas de educação básica;Art. 1º Instituir o Programa Brasil na Escola, com a finalidade de induzir e fomentar a permanência, as aprendizagens e a progressão escolar, com equidade e na idade adequada dos estudantes matriculados nos anos finais do ensino fundamental.;Não se aplica;Não se aplica;Portaria;177/2021;30 de Março de 2021;Não encontrado;"Art. 6º São objetivos do Programa Brasil na Escola:
I - elevar a frequência escolar nos anos finais do ensino fundamental;
II - diminuir os índices de evasão e abandono escolar nos anos finais do ensino fundamental;
III - diminuir os índices de reprovação nos anos finais do ensino fundamental;
IV - diminuir a distorção idade-série nos anos finais do ensino fundamental;
V - elevar a aprendizagem e, consequentemente, o desempenho nas avaliações nacionais;
VI - contribuir para a consecução das Metas 2 e 7 do PNE, de que trata o Anexo à Lei nº 13.005, de 2014; e
VII - propor estratégias inovadoras de organização pedagógica para o ensino fundamental.";;
