nome_politica;tipo_politica;ano;grande_area;area;subareas;orgaos;publico_alvo;publico_alvo_categ;publico_alvo_legislacao;medida_provisoria;medida_provisoria_inicio_vigencia;instrumento_legal;legislacao;vigencia_inicio;vigencia_fim;objetivos;observacoes;acao_orcamentaria_assoc
Plano Nacional de Segurança Pública;Plano;2018;Social;Justiça e Segurança Pública;"Segurança Pública;;;;";Ministério da Segurança Pública;Popula��o em situa��o de vulnerabilidade social;Sistema de Segurança Pública;Sem especificação;Não se aplica;Não se aplica;Decreto;9630/2018;26 de dezembro de 2018;Não encontrado;"Art. 2º São objetivos do PNSP:

I - reduzir os homicídios e os demais crimes violentos letais;

II - reduzir todas as formas de violência contra a mulher, em especial as violências doméstica e sexual, prevenir e reprimir situações de exploração sexual, independentemente de gênero, e aprimorar o atendimento a cargo dos órgãos operacionais do Sistema Único de Segurança Pública - Susp nos casos envolvendo populações vulneráveis e minorias;

III - promover o enfrentamento às estruturas do crime organizado;

IV - aprimorar os mecanismos de prevenção e de repressão aos crimes violentos patrimoniais;

V - elevar o nível de percepção de segurança da população;

VI - fortalecer a atuação dos Municípios nas ações de prevenção ao crime e à violência, sobretudo por meio de ações de reorganização urbanística e de defesa social;

VII - aprimorar a gestão e as condições do sistema prisional, para eliminar a superlotação, garantir a separação dos detentos, nos termos do disposto na Lei nº 7.210, de 11 de julho de 1984 , e as condições mínimas para ressocialização dos detentos, por meio da oferta de oportunidades educacionais, de qualificação profissional e de trabalho;

VIII - fortalecer o aparato de segurança e aumentar o controle de divisas, fronteiras, portos e aeroportos;

IX - ampliar o controle e o rastreamento de armas de fogo, munições e explosivos;

X - promover a revisão, a inovação e o aprimoramento, considerados os aspectos normativo, financeiro, material e humano, dos meios e dos mecanismos de combate aos crimes ambientais e aos crimes de lavagem ou ocultação de bens, direitos e valores e de corrupção que envolvam crimes ambientais como antecedentes;

XI - buscar fontes contínuas, previsíveis e suficientes de financiamento das ações de segurança pública e regular a sua utilização por meio de modelos científicos;

XII - implementar programa de reaparelhamento, aprimorar a governança e a gestão das políticas, dos programas e dos projetos de segurança pública e defesa social, com vistas à elevação da eficiência na atuação dos órgãos operacionais do Susp;

XIII - valorizar e assegurar condições de trabalho dignas aos profissionais de segurança pública e do sistema penitenciário;

XIV - aprimorar os mecanismos de controle e prestação de contas da atividade de segurança pública; e

XV - estabelecer política e programa de aparelhamento adequado à prevenção de situações de emergência e desastres e aprimorar os procedimentos destinados à referida prevenção.

Parágrafo único. As metas e as estratégias que serão implementadas para o cumprimento dos objetivos de que trata o caput serão publicadas pelo Conselho Nacional de Segurança Pública e Defesa Social, nos termos do disposto no art. 9º.
";#N/A;NA
Plano Nacional dos Direitos da Pessoa com Deficiência (Plano Viver sem Limite);Plano;2011;Social;Direitos Humanos;"Assistência Social;Educação;Saúde;Trabalho;Direitos da Cidadania";"Ministério da Saúde; Ministério da Ciência, Tecnologia e Inovações; Secretaria de Direitos Humanos da Presidência da República; Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão; Ministério da Educação; Ministério do Desenvolvimento, Indústria e Comércio Exterior";Pessoas afetadas por doen�as;Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com deficiência);Não específicado, mas a descrição dá a entender que é voltada para toda a população visto que inclui ações de detecção precoce;Não se aplica;Não se aplica;Decreto;7612/2011;17 de novembro de 2011;Não encontrado;Art. 1º Fica instituído o Plano Nacional dos Direitos da Pessoa com Deficiência – Plano Viver sem Limite, com a finalidade de promover, por meio da integração e articulação de políticas, programas e ações, o exercício pleno e equitativo dos direitos das pessoas com deficiência, nos termos da Convenção Internacional sobre os Direitos das Pessoas com Deficiência e seu Protocolo Facultativo, aprovados por meio do Decreto Legislativo nº 186, de 9 de julho de 2008, com status de emenda constitucional, e promulgados pelo Decreto n º 6.949, de 25 de agosto de 2009.;Lei 13146, de 06 de julho de 2015. O plano contempla o eixo Atenção à Saúde. ;Ação 8585 - PO 0006 Viver sem Limite
Plano Progredir;Plano;2017;Social;Assistência Social;"Assistência Social;;;;";Ministério da Cidadania;Sistema de Seguran�a P�blica;População em situação de vulnerabilidade social;Sem especificação;Não se aplica;Não se aplica;Decreto;9160/2017;26 de setembro de 2017;Não encontrado;"Art. 3º São objetivos do Plano Progredir:

I - estimular e ampliar o acesso de pessoas incluídas no Cadastro Único ao mundo do trabalho e propiciar melhores condições de emprego e renda;

II - articular e coordenar a oferta de serviços para inclusão produtiva, de forma a aproximar os trabalhadores e os empreendedores de baixa renda e o mundo do trabalho, por meio de ações de intermediação de mão de obra, qualificação profissional e empreendedorismo;

III - incentivar ações municipais e estaduais de inclusão produtiva; e

IV - incentivar ações de órgãos e entidades públicas e de instituições privadas que promovam a inclusão do público-alvo do Plano Progredir no mundo do trabalho.";https://www.gov.br/cidadania/pt-br/acoes-e-programas/progredir;#N/A
Plano Setorial de Mitigação e de Adaptação às Mudanças Climáticas para a Consolidação de uma Economia de Baixa Emissão de Carbono na Agricultura (Plano ABC);Plano;2010;Meio Ambiente;Agropecuária e Agrária;"Agricultura;;;;";"Ministério da Agricultura, Pecuária e Abastecimento; Ministério do Meio Ambiente";Estudantes e Professores;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;Art. 1º  É instituído, nos termos desta Lei, o Fundo de Financiamento Estudantil (Fies), de natureza contábil, vinculado ao Ministério da Educação, destinado à concessão de financiamento a estudantes de cursos superiores não gratuitos e com avaliação positiva nos processos conduzidos pelo Ministério, de acordo com regulamentação própria.  ;Não se aplica;Não se aplica;Decreto;7390/2010;09 de dezembro de 2010;Não encontrado;Regulamenta os arts. 6o, 11 e 12 da Lei no 12.187, de 29 de dezembro de 2009, que institui a Política Nacional sobre Mudança do Clima - PNMC, e dá outras providências. ;Relação com política nacional de mudança do clima - um dos resultados;NA
Política Agrícola para Florestas Plantadas;Política nacional;2014;Meio Ambiente;Agropecuária e Agrária;"Agricultura;;;;";"Ministério da Agricultura, Pecuária e Abastecimento; Secretaria de Assuntos Estratégicos";Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;Sem especificação;Não se aplica;Não se aplica;Decreto;8375/2014;12 de dezembro de 2014;Não encontrado;"Art. 4º São objetivos da Política Agrícola para Florestas Plantadas:
I - aumentar a produção e a produtividade das florestas plantadas; II - promover a utilização do potencial produtivo de bens e serviços econômicos das florestas plantadas; III - contribuir para a diminuição da pressão sobre as florestas nativas; IV - melhorar a renda e a qualidade de vida no meio rural, notadamente em pequenas e médias propriedades rurais; e V - estimular a integração entre produtores rurais e agroindústrias que utilizem madeira como matéria-prima. ";#N/A;Política com ação orçamentária associada
Política de Desenvolvimento da Biotecnologia;Política nacional;2007;Desenvolvimento Econômico;Ciência e Tecnologia;"Ciência e Tecnologia;;;;";"Ministério da Agricultura, Pecuária e Abastecimento; Ministério da Saúde; Ministério do Desenvolvimento, Indústria e Comércio Exterior; Ministério da Ciência, Tecnologia e Inovações; Ministério do Meio Ambiente";Popula��o em situa��o de vulnerabilidade social;Instituiçoes de pesquisa e inovação;Art. 2º O Plano Brasil Sem Miséria destina-se à população em situação de extrema pobreza.;Não se aplica;Não se aplica;Decreto;6041/2007;09 de fevereiro de 2007;Não encontrado;Art. 1o  Fica instituída a Política de Desenvolvimento da Biotecnologia, na forma do Anexo a este Decreto, que tem por objetivo o estabelecimento de ambiente adequado para o desenvolvimento de produtos e processos biotecnológicos inovadores, o estímulo à maior eficiência da estrutura produtiva nacional, o aumento da capacidade de inovação das empresas brasileiras, a absorção de tecnologias, a geração de negócios e a expansão das exportações.;#N/A;Política sem ação orçamentária associada
Política de Educação do Campo;Política nacional;2010;Social;Educação;"Educação;;;;";"Ministério da Educação; Ministério do Desenvolvimento Agrário";Sistema Nacional de Defesa;Trabalhadores Rurais;Sem especificação;Não se aplica;Não se aplica;Decreto;7352/2010;05 de novembro de 2010;Não encontrado;Art. 1o  A política de educação do campo destina-se à ampliação e qualificação da oferta de educação básica e superior às populações do campo, e será desenvolvida pela União em regime de colaboração com os Estados, o Distrito Federal e os Municípios, de acordo com as diretrizes e metas estabelecidas no Plano Nacional de Educação e o disposto neste Decreto. ;#N/A;Política com ação orçamentária associada
Política de Ensino de Defesa;Política nacional;2010;Defesa e Segurança;Defesa Nacional;"Defesa Nacional;;;;";"Ministério da Defesa; Ministério da Educação";Popula��es fronteiri�as e de territ�rios economicamente deprimidos;Instituiçoes de pesquisa e inovação;Sem especificação;Não se aplica;Não se aplica;Decreto;7274/2010;26 de agosto de 2010;18 de dezembro de 2018;"Art. 3o  A PEnsD tem como objetivo geral incrementar o estudo de temas de interesse da defesa nacional no âmbito da sociedade, em particular no meio acadêmico, capacitando recursos humanos, conforme as necessidades dessa área.  
Art. 4o  São objetivos específicos da PEnsD:
I - cooperação na área do ensino de defesa com outros países, em consonância com a política externa brasileira, em especial na América do Sul; II - difusão dos assuntos de interesse da defesa nacional no meio acadêmico civil; III - promoção de estudos e estímulo ao desenvolvimento da capacidade de liderança, em cursos da área de defesa nacional; IV - capacitação de recursos humanos da área de inteligência, com ênfase na elaboração de documentos prospectivos e na análise nos campos científico, nuclear, cibernético e espacial; V - equivalência de cursos nos sistemas de ensino civil e militar, no que for aplicável, respeitadas as respectivas legislações de ensino; VI - promoção, de forma sistemática e permanente, da capacitação do pessoal civil e militar da área de defesa; VII - intercâmbio entre instituições de ensino civis e militares; VIII - participação de representantes dos órgãos da administração pública federal nos cursos da Escola Superior de Guerra; IX - desenvolvimento da mentalidade e da doutrina de operações conjuntas, por intermédio do ensino; X - difusão de conhecimentos relativos às operações de paz, em instituições de ensino; XI - difusão de conhecimentos relativos à mobilização nacional, em instituições de ensino; XII - interação entre cursos congêneres das Forças Armadas e da Escola Superior de Guerra, com ênfase nos cursos de altos estudos; e XIII - aprimoramento do perfil dos militares das Forças Armadas, por meio da valorização dos princípios da iniciativa e da flexibilidade, nos cursos militares de carreira. ";#N/A;Política com ação orçamentária associada
Política de Governança da Administração Pública Federal Direta, Autárquica e Fundacional;Política nacional;2017;Administração;Administração Pública;"Administração;;;;";"Ministério do Planejamento, Desenvolvimento e Gestão; Ministério da Transparência, Fiscalização e Controle";Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;Administração pública e servidores públicos;Art. 1o  Fica instituído o Plano de Desenvolvimento Regional Sustentável - PDRS do Xingu, com a finalidade de promover políticas públicas que resultem na melhoria da qualidade de vida da população que habita sua área de abrangência. ;Não se aplica;Não se aplica;Decreto;9203/2017;23 de novembro de 2017;Não encontrado;Sem especificação;#N/A;Política sem ação orçamentária associada
Política de Governança Digital;Política nacional;2016;Administração;Administração Pública;"Administração;;;;";Ministério do Planejamento, Orçamento e Gestão;Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;Administração pública e servidores públicos;Sem especificação;Não se aplica;Não se aplica;Decreto;8638/2016;18 de janeiro de 2016;29 de abril de 2020;"Art. 1º Fica instituída a Política de Governança Digital para os órgãos e as entidades da administração pública federal direta, autárquica e fundacional, com as seguintes finalidades:
I - gerar benefícios para a sociedade mediante o uso da informação e dos recursos de tecnologia da informação e comunicação na prestação de serviços públicos;
II - estimular a participação da sociedade na formulação, na implementação, no monitoramento e na avaliação das políticas públicas e dos serviços públicos disponibilizados em meio digital; e
III - assegurar a obtenção de informações pela sociedade, observadas as restrições legalmente previstas.";#N/A;Política sem ação orçamentária associada
Política de Livre Acesso ao Subsistema Ferroviário Federal;Política nacional;2013;Desenvolvimento Econômico;Política Econômica;"Transporte;;;;";"Ministério dos Transportes; Ministério do Planejamento, Orçamento e Gestão; Advocacia-Geral da União";Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;População em geral;Sem especificação;Não se aplica;Não se aplica;Decreto;8129/2013;24 de outubro de 2013;13 de outubro de 2016;Art. 1 º Fica instituída a política de livre acesso ao Subsistema Ferroviário Federal, voltada para o desenvolvimento do setor ferroviário e para a promoção de competição entre os operadores ferroviários.;#N/A;Política com ação orçamentária associada
Política de Mobilização Nacional;Política nacional;2010;Defesa e Segurança;Defesa Nacional;"Defesa Nacional;;;;";"Ministério da Justiça; Ministério da Defesa; Ministério das Relações Exteriores; Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão; Ministério da Ciência e Tecnologia; Ministério da Integração Nacional; Secretaria de Comunicação Social; Gabinete de Segurança Institucional";Pessoas afetadas por doen�as;Sistema Nacional de Defesa;Art. 668 e 669 hospitais habilitados em oncologia;Não se aplica;Não se aplica;Decreto;7294/2010;08 de setembro de 2010;Não encontrado;"Art. 4o  A Política de Mobilização Nacional tem por objetivo geral o preparo e a execução da mobilização nacional. 
Art. 5o  Para atingir o objetivo geral, concorrem os seguintes objetivos específicos: I - capacitação do País para realizar as atividades de mobilização nacional; II - promoção da pesquisa e do desenvolvimento das tecnologias relevantes para a mobilização nacional; III - incorporação da dimensão defesa nacional nos planos de desenvolvimento da infraestrutura do País, em especial nos setores de transporte, telecomunicações, saúde e energia; IV - adoção de medidas econômico-financeiras em proveito das necessidades da mobilização nacional; V - implementação de ações que visem dotar a mobilização nacional de um arcabouço jurídico-institucional adequado às suas necessidades; VI - desenvolvimento da cooperação internacional em proveito da mobilização nacional; VII - promoção de ações de segurança pública voltadas para a execução da mobilização nacional; VIII - intensificação das atividades de inteligência em proveito da mobilização nacional; IX - envolvimento da sociedade brasileira com a mobilização nacional; X - minimização dos efeitos negativos decorrentes da mobilização nacional na sociedade; XI - integração das atividades de defesa civil à mobilização nacional; XII - sustentação da capacidade das Forças Armadas para o enfrentamento de agressão estrangeira; e XIII - intensificação das atividades de segurança da informação em proveito da mobilização nacional. 
";#N/A;Política com ação orçamentária associada 
Política de Segurança da Informação nos órgãos e entidades da Administração Pública Federal;Política nacional;2000;Administração;Administração Pública;"Administração;;;;";"Ministério da Justiça; Ministério da Defesa; Ministério das Relações Exteriores; Ministério da Fazenda; Ministério da Previdência e Assistência Social; Ministério da Saúde; Ministério do Desenvolvimento, Indústria e Comércio Exterior; Ministério do Planejamento, Orçamento e Gestão; Ministério das Comunicações; Ministério da Ciência, Tecnologia e Inovações; Ministério de Minas e Energia; Gabinete de Segurança Institucional";Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;Administração pública e servidores públicos;Sem especificação;Não se aplica;Não se aplica;Decreto;3505/2000;14 de junho de 2000;27 de dezembro de 2018;"Art. 3o  São objetivos da Política da Informação:
I - dotar os órgãos e as entidades da Administração Pública Federal de instrumentos jurídicos, normativos e organizacionais que os capacitem científica, tecnológica e administrativamente a assegurar a confidencialidade, a integridade, a autenticidade, o não-repúdio e a disponibilidade dos dados e das informações tratadas, classificadas e sensíveis; II - eliminar a dependência externa em relação a sistemas, equipamentos, dispositivos e atividades vinculadas à segurança dos sistemas de informação; III - promover a capacitação de recursos humanos para o desenvolvimento de competência científico-tecnológica em segurança da informação; IV - estabelecer normas jurídicas necessárias à efetiva implementação da segurança da informação; V - promover as ações necessárias à implementação e manutenção da segurança da informação; VI - promover o intercâmbio científico-tecnológico entre os órgãos e as entidades da Administração Pública Federal e as instituições públicas e privadas, sobre as atividades de segurança da informação;
VII - promover a capacitação industrial do País com vistas à sua autonomia no desenvolvimento e na fabricação de produtos que incorporem recursos criptográficos, assim como estimular o setor produtivo a participar competitivamente do mercado de bens e de serviços relacionados com a segurança da informação; e VIII - assegurar a interoperabilidade entre os sistemas de segurança da informação.";Dec que revoga estabelece a política;Política sem ação orçamentária associada
Política Federal de Estímulo ao Transporte Rodoviário Coletivo Interestadual e Internacional de Passageiros;Política nacional;2019;Infraestrutura;Infraestrutura;"Transporte;;;;";"Ministério da Infraestrutura; Casa Civil da Presidência da República";Empres�rios dos setores urbanos e rurais;População em geral;Sem especificação;Não se aplica;Não se aplica;Decreto;10157/2019;05 de dezembro de 2019;Não encontrado;Sem especificação;#N/A;Política sem ação orçamentária associada
Política Marítima Nacional;Política nacional;1984;Infraestrutura;Infraestrutura;"Transporte;;;;";Ministério da Marinha ;Trabalhadores Rurais;População em geral;População em áreas rurais;Não se aplica;Não se aplica;Decreto;89331/1984;26 de janeiro de 1984;Não encontrado;A Política Marítima Nacional (PMN) tem por finalidade orientar o desenvolvimento das atividades marítima do País, de forma integrada e harmônica, visando à utilização efetiva, racional e plena dos mares e de nossas hidrovias interiores, de acordo com os interesses nacionais.;Revogado pelo Decreto nº 1265 de 1994 e é instutido novamente por esse decreto;Política com ação orçamentária associada
